MP7,,,,,,,,,,,,,,,
Detector,Mean Keypoint,Notes,,,,,,,,,,,,,
Shi-Tomasi,1342.3,Well placed very tiny circles around the edges of the car,,,,,,,,,,,,,
Harris,173.7,"Using parameters defined during instruction, very few key points but are mostly placed well around the intended edges of the vehicle",,,,,,,,,,,,,
FAST,1787.4,Smallest Circle size but places a decent amount of keypoints on other cars (this might be more a box sizing problem as they are placed well on the other cars),,,,,,,,,,,,,
Brisk,2706.555556,"Huge Circles on the peak corners,on average larger. Highest count of key points by far",,,,,,,,,,,,,
Orb,500,"Maxed number of keypoints at 500 with the incredibly large circles near the top of the vehicle, played around with different caps and anything higher than default was too chaotic",,,,,,,,,,,,,
AKAZE,1343,Medium to small size but struggles around the sloped top of the car,,,,,,,,,,,,,
SIFT,1386.1,Quite small circles but not accurately placed on car for a a decent amount around the sloped top of the car,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Key Points by Image for the Vehicle of Interest by Detector,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Image,1,2,3,4,5,6,7,8,9,10,,,,,
Shi-Tomasi,1370,1301,1361,1358,1333,1284,1322,1366,1389,1339,,,,,
Harris,115,98,113,121,160,383,85,210,171,281,,,,,
FAST,1824,1832,1810,1817,1793,1796,1788,1695,1749,1770,,,,,
Brisk,2777,2741,2735,2757,2695,2715,2628,2639,2672,,,,,,
Orb,500,500,500,500,500,500,500,500,500,500,,,,,
AKAZE,1351,1327,1311,1351,1360,1347,1363,1331,1358,1331,,,,,
SIFT,1438,1371,1380,1335,1305,1369,1396,1382,1463,1422,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MP8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Keypoint Matching Averages,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Detector,,,,,,,,,,,,,,
Descriptor,,BRISK,BRIEF,ORB,FREAK,AKAZE,SIFT,,,,,,,,
,Shi-Tomasi,117.9,117.9,117.9,117.9,117.9,N/A,,,,,,,,
,Harris,24.8,24.8,24.8,24.8,24.8,N/A,,,,,,,,
,FAST,149.1,149.1,149.1,149.1,149.1,N/A,,,,,,,,
,Brisk,276.2,276.2,276.2,256.3,276.2,N/A,,,,,,,,
,Orb,107,116.1,116.1,62,116.1,N/A,,,,,,,,
,AKAZE,167,167,167,167,167,N/A,,,,,,,,
,SIFT,138.5,138.6,N/A,137.4,138.6,N/A,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MP9,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Timing Matching Averages (ms),,,,,,,KeyPoint per millisecond,,,,,,
,Detector,,,,,,,,Detector,,,,,,
Descriptor,,BRISK,BRIEF,ORB,FREAK,AKAZE,SIFT,Descriptor,,BRISK,BRIEF,ORB,FREAK,AKAZE,SIFT
,Shi-Tomasi,0.186457,0.0602035,0.0694027,0.0979265,0.198724,N/A,,Shi-Tomasi,632.3173708,1958.357903,1698.781171,1203.964198,593.2851593,N/A
,Harris,0.150338,0.0616002,0.0788205,0.0956677,0.197258,N/A,,Harris,164.9616198,402.5960955,314.6389581,259.2306494,125.7236715,N/A
,FAST,0.226592,0.0170984,0.0290952,0.0487676,0.153408,N/A,,FAST,658.0108742,8720.114163,5124.556628,3057.357754,971.9180225,N/A
,Brisk,0.265927,0.101235,0.139195,0.136315,0.242238,N/A,,Brisk,1038.630902,2728.305428,1984.266676,1880.203939,1140.200959,N/A
,Orb,0.191762,0.0439801,0.0960921,0.0743778,0.185559,N/A,,Orb,557.9833335,2639.830287,1208.215868,833.5820635,625.6770084,N/A
,AKAZE,0.217619,0.178351,0.197897,0.213776,0.307138,N/A,,AKAZE,767.3962292,936.3558376,843.873328,781.1915276,543.7295287,N/A
,SIFT,0.274301,0.254074,N/A,0.283548,0.393921,N/A,,SIFT,504.9197779,545.5103631,N/A,484.5740404,351.8471978,N/A
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"From the results of my MP8 and MP9, it seems that the most ideal combinations in terms of total number of keypoints given is 1) FAST detector / BRIEF descriptor, 2) FAST detector / ORB decsriptor, 3) FAST detector / FREAK descriptor. ",,,,,,,,,,,,,,,
